"rel","coef","beta","se","crv1_p","wcr_p"
-8,"rel::-8:treated",-0.3922206149198,1.00172052887468,0.695472972982795,0.663326653306613
-7,"rel::-7:treated",-1.38479288440041,0.938116077264891,0.140207508566637,0.162324649298597
-6,"rel::-6:treated",-1.15412655619253,0.878151820206101,0.189045091240321,0.19438877755511
-5,"rel::-5:treated",0.458259235129196,1.09833054677986,0.676594195916683,0.695390781563126
-4,"rel::-4:treated",-0.263342126770965,0.954391784191563,0.782659065152118,0.743486973947896
-3,"rel::-3:treated",-0.466225105624636,1.07169733750977,0.663627526526599,0.697394789579158
-2,"rel::-2:treated",-0.832276096554541,0.683124614820143,0.223371390748909,0.232464929859719
0,"rel::0:treated",-0.835335179308136,0.877318334360022,0.341243515004691,0.372745490981964
1,"rel::1:treated",0.778362439889391,1.2208117598377,0.523888504506802,0.569138276553106
2,"rel::2:treated",-1.50273164145172,0.890432785310905,0.0917789774284177,0.104208416833667
3,"rel::3:treated",0.55872047660407,1.00615739233986,0.578807687116053,0.597194388777555
4,"rel::4:treated",0.128210311637038,1.20317982324248,0.915158894399143,0.927855711422846
5,"rel::5:treated",-1.03574009381789,1.00296148218178,0.301992210855454,0.322645290581162
6,"rel::6:treated",-0.83280789830233,0.833767784771342,0.31809964492012,0.288577154308617
7,"rel::7:treated",0.109913141719119,1.15680801290647,0.924321830173473,0.925851703406814
8,"rel::8:treated",0.275929931962407,1.15552704695595,0.811314241602218,0.79559118236473
