fee_bps,amm_fee,avg_hedged_pnl,std_hedged_pnl,avg_lp_vs_hold,std_lp_vs_hold
1,0.000100,-138.7211,23.3122,-169.0467,583.3030
2,0.000200,68.6823,18.5612,38.3151,583.2110
3,0.000300,223.6946,15.0615,193.2857,583.1731
4,0.000400,329.2095,12.8304,298.7590,583.1602
5,0.000500,389.1289,11.5669,358.6367,583.1485
6,0.000600,408.3835,10.8260,377.8496,583.1434
7,0.000700,392.7861,10.0650,362.2106,583.1633
8,0.000800,348.9880,8.9547,318.3707,583.1152
9,0.000900,284.1353,7.6053,253.4764,583.0136
10,0.001000,205.4615,6.2572,174.7609,582.9368
11,0.001100,192.6332,5.8680,161.8031,582.8682
12,0.001200,178.3991,5.4882,147.4776,582.7150
13,0.001300,164.0870,5.2289,133.0714,582.5105
14,0.001400,150.5367,5.0412,119.4537,582.2268
15,0.001500,138.2282,4.8459,107.1083,581.9298
16,0.001600,127.3006,4.7082,96.0871,581.6374
17,0.001700,117.7371,4.6376,86.4439,581.3679
18,0.001800,109.3538,4.5920,78.0085,581.1215
19,0.001900,102.0304,4.5344,70.6446,580.9128
20,0.002000,95.6402,4.4932,64.1810,580.6299
21,0.002100,90.0084,4.4755,58.4837,580.3789
22,0.002200,85.0046,4.4557,53.4462,580.0976
23,0.002300,80.5329,4.4619,48.9116,579.8407
24,0.002400,76.5177,4.4693,44.8584,579.6409
25,0.002500,72.9046,4.4901,41.2194,579.4655
26,0.002600,69.6069,4.5060,37.9677,579.2728
27,0.002700,66.5885,4.5338,34.9861,579.1244
28,0.002800,63.8245,4.5529,32.2169,578.9605
29,0.002900,61.2645,4.5632,29.5993,578.7951
30,0.003000,58.9013,4.5811,27.1823,578.6035
31,0.003100,56.7294,4.6145,24.9613,578.3796
32,0.003200,54.7103,4.6457,22.8973,578.1603
33,0.003300,52.8213,4.6634,20.9435,577.9152
34,0.003400,51.0652,4.6814,19.1694,577.6550
35,0.003500,49.4153,4.7098,17.5164,577.4241
36,0.003600,47.8834,4.7233,15.9787,577.2399
37,0.003700,46.4462,4.7299,14.5348,577.0535
38,0.003800,45.0852,4.7362,13.1669,576.8674
39,0.003900,43.8000,4.7540,11.8851,576.6601
40,0.004000,42.6020,4.7839,10.6723,576.4587
41,0.004100,41.4737,4.7965,9.5193,576.2221
42,0.004200,40.3940,4.7894,8.4273,576.0279
43,0.004300,39.3636,4.7746,7.3808,575.8157
44,0.004400,38.3692,4.7549,6.3423,575.6043
45,0.004500,37.4281,4.7446,5.3703,575.3992
46,0.004600,36.5181,4.7501,4.4649,575.2291
47,0.004700,35.6493,4.7498,3.6022,575.0773
48,0.004800,34.8214,4.7510,2.7372,574.8908
49,0.004900,34.0404,4.7566,1.9213,574.6518
50,0.005000,33.2956,4.7530,1.1621,574.3934
51,0.005100,32.5737,4.7422,0.4444,574.1451
52,0.005200,31.8775,4.7370,-0.2539,573.9104
53,0.005300,31.2138,4.7346,-0.8989,573.6555
54,0.005400,30.5822,4.7295,-1.5128,573.4080
55,0.005500,29.9655,4.7281,-2.1400,573.1536
56,0.005600,29.3780,4.7240,-2.7400,572.9082
57,0.005700,28.8217,4.7266,-3.2929,572.6875
58,0.005800,28.2881,4.7344,-3.8352,572.4668
59,0.005900,27.7757,4.7435,-4.3487,572.2401
60,0.006000,27.2771,4.7579,-4.8473,571.9870
61,0.006100,26.8018,4.7683,-5.3419,571.7150
62,0.006200,26.3415,4.7675,-5.8333,571.4268
63,0.006300,25.8870,4.7615,-6.3454,571.1111
64,0.006400,25.4472,4.7547,-6.8642,570.7968
65,0.006500,25.0285,4.7386,-7.3530,570.5055
66,0.006600,24.6290,4.7250,-7.8338,570.2045
67,0.006700,24.2356,4.7154,-8.2801,569.8809
68,0.006800,23.8530,4.7055,-8.7558,569.5293
69,0.006900,23.4782,4.6954,-9.2324,569.1725
70,0.007000,23.1141,4.6895,-9.6823,568.8009
71,0.007100,22.7624,4.6796,-10.1328,568.4372
72,0.007200,22.4215,4.6731,-10.5777,568.0672
73,0.007300,22.0885,4.6692,-11.0039,567.6519
74,0.007400,21.7674,4.6660,-11.3979,567.2156
75,0.007500,21.4515,4.6606,-11.7581,566.7804
76,0.007600,21.1408,4.6547,-12.0969,566.3266
77,0.007700,20.8423,4.6484,-12.4462,565.8620
78,0.007800,20.5524,4.6342,-12.7763,565.4177
79,0.007900,20.2641,4.6213,-13.0893,564.9516
80,0.008000,19.9844,4.6090,-13.3662,564.4701
81,0.008100,19.7149,4.6001,-13.5844,563.9536
82,0.008200,19.4507,4.5951,-13.7846,563.4258
83,0.008300,19.1993,4.5897,-13.9438,562.8970
84,0.008400,18.9592,4.5830,-14.0939,562.3246
85,0.008500,18.7264,4.5746,-14.2422,561.7164
86,0.008600,18.4983,4.5666,-14.3934,561.0890
87,0.008700,18.2710,4.5537,-14.5154,560.4455
88,0.008800,18.0461,4.5381,-14.6397,559.8040
89,0.008900,17.8324,4.5287,-14.7423,559.1830
90,0.009000,17.6225,4.5205,-14.8467,558.5778
91,0.009100,17.4223,4.5123,-14.9216,557.9664
92,0.009200,17.2295,4.5031,-15.0066,557.3446
93,0.009300,17.0385,4.4948,-15.1082,556.6999
94,0.009400,16.8511,4.4864,-15.2004,556.0435
95,0.009500,16.6639,4.4787,-15.2794,555.3935
96,0.009600,16.4767,4.4685,-15.3646,554.7167
97,0.009700,16.3003,4.4565,-15.4255,554.0147
98,0.009800,16.1256,4.4494,-15.4809,553.3174
99,0.009900,15.9510,4.4461,-15.5558,552.6119
100,0.010000,15.7734,4.4410,-15.6567,551.8977
