step,oracle_price,remaining_after,action
0,1000.3387309667811,45.0,1
1,1000.2428771092774,45.0,0
2,1000.136105450043,45.0,0
3,999.2992998318991,45.0,0
4,1000.103471476336,45.0,0
5,1000.5563368127185,40.5,1
6,1001.3692153330843,40.5,0
7,1002.1317257229301,36.45,1
8,1002.9540044894464,36.45,0
9,1003.656322276514,36.45,0
10,1004.0957929210465,32.805,1
11,1004.1130467025404,32.805,0
12,1005.0771652270099,29.5245,1
13,1005.6357582738169,29.5245,0
14,1007.0567803209074,29.5245,0
15,1005.6616272057818,29.5245,0
16,1006.4288444156974,29.5245,0
17,1006.8819910081294,29.5245,0
18,1006.5280629472535,29.5245,0
19,1006.0420793125317,29.5245,0
20,1006.0318693537158,22.143375,3
21,1006.6276354708242,22.143375,0
22,1006.046970125745,22.143375,0
23,1005.838401215943,22.143375,0
24,1006.6377705129987,22.143375,0
25,1007.2861286149989,22.143375,0
26,1007.9862400228476,22.143375,0
27,1006.8294037082497,22.143375,0
28,1006.4922509471076,22.143375,0
29,1007.0770421161346,22.143375,0
30,1006.7956537925493,22.143375,0
31,1005.9456017623322,22.143375,0
32,1004.9045133971686,22.143375,0
33,1003.8806702140746,22.143375,0
34,1003.5112316709237,22.143375,0
35,1001.9387683384408,22.143375,0
36,1002.0985032898176,22.143375,0
37,1002.6956234711423,22.143375,0
38,1002.6400661448158,22.143375,0
39,1001.2445976466088,22.143375,0
40,1001.637476708844,22.143375,0
41,1002.3698664540345,22.143375,0
42,1001.18789764562,11.0716875,7
43,999.4506431594456,11.0716875,0
44,999.3637318422979,5.53584375,7
45,1001.1569146743946,5.53584375,0
46,1001.5686722825154,4.1518828125,3
47,999.7372256899438,3.113912109375,3
48,999.9246724267791,1.5569560546875,6
49,999.1114394385869,0.77847802734375,5
